Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Date	Party	Year	URL	Matchbegin corpus position	Matchend corpus position
280	c_1105741	as one of the four essential public services for the MDGs , and having recently increased its financial commitment to	water and sanitation	, the Department has attempted , and continues to attempt , to re-establish its lead on this issue . I	as_IN one_CD of_IN the_DT four_CD essential_JJ public_JJ services_NNS for_IN the_DT MDGs_NNPS ,_, and_CC having_VBG recently_RB increased_VBN its_PRP$ financial_JJ commitment_NN to_IN	water_NN and_CC sanitation_NN	,_, the_DT Department_NNP has_VBZ attempted_VBN ,_, and_CC continues_VBZ to_TO attempt_VB ,_, to_TO re-establish_VB its_PRP$ lead_NN on_IN this_DT issue_NN ._. I_PRP	2008-03-19	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=279	242523694	242523696
281	c_1105741	developing countries . In addition , as I have said , it will double its support for the provision of	water and sanitation	in sub-Saharan Africa to Â £95 million a year by 2007 - 08 , and more than double funding again	developing_VBG countries_NNS ._. In_IN addition_NN ,_, as_IN I_PRP have_VBP said_VBN ,_, it_PRP will_MD double_VB its_PRP$ support_NN for_IN the_DT provision_NN of_IN	water_NN and_CC sanitation_NN	in_IN sub-Saharan_JJ Africa_NNP to_IN Â_$ £95_CD million_CD a_DT year_NN by_IN 2007_CD -_SYM 08_CD ,_, and_CC more_JJR than_IN double_JJ funding_NN again_RB	2008-03-19	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=280	242524479	242524481
282	c_1105741	In Nepal , which I hope to visit next month to monitor the elections , the Department has cut its	water and sanitation	budget from Â £ 4 million in 2003 to just Â £ 1.9 million in 2007 - 08 . Its	In_IN Nepal_NNP ,_, which_WDT I_PRP hope_VBP to_TO visit_VB next_JJ month_NN to_TO monitor_VB the_DT elections_NNS ,_, the_DT Department_NNP has_VBZ cut_VBN its_PRP$	water_NN and_CC sanitation_NN	budget_NN from_IN Â_$ £_$ 4_CD million_CD in_IN 2003_CD to_IN just_RB Â_RB £_$ 1.9_CD million_CD in_IN 2007_CD -_SYM 08_CD ._. Its_PRP$	2008-03-19	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=281	242524712	242524714
283	c_1105741	problems of tackling killer diseases . Spending money effectively can achieve disproportionate results in the provision of access to clean	water and sanitation	in developing nations , but , as I have highlighted , money is not the solution to everything . Unfortunately	problems_NNS of_IN tackling_VBG killer_NN diseases_NNS ._. Spending_VBG money_NN effectively_RB can_MD achieve_VB disproportionate_JJ results_NNS in_IN the_DT provision_NN of_IN access_NN to_IN clean_JJ	water_NN and_CC sanitation_NN	in_IN developing_VBG nations_NNS ,_, but_CC ,_, as_IN I_PRP have_VBP highlighted_VBN ,_, money_NN is_VBZ not_RB the_DT solution_NN to_IN everything_NN ._. Unfortunately_RB	2008-03-19	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=282	242524828	242524830
284	c_1105742	helpful that in the run - up to world water day on 22 March we have the opportunity to debate	water and sanitation	. I join the hon . Member for North - East Bedfordshire in congratulating those who organised the walk and	helpful_JJ that_IN in_IN the_DT run_NN -_HYPH up_IN to_IN world_NN water_NN day_NN on_IN 22_CD March_NNP we_PRP have_VBP the_DT opportunity_NN to_TO debate_VB	water_NN and_CC sanitation_NN	._. I_PRP join_VBP the_DT hon_NN ._. Member_NNP for_IN North_NNP -_HYPH East_NNP Bedfordshire_NNP in_IN congratulating_VBG those_DT who_WP organised_VBD the_DT walk_NN and_CC	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=283	242525444	242525446
285	c_1105742	) , who has the Oxfam headquarters in his constituency , rightly highlighted the excellent work that Oxfam does on	water and sanitation	. He raised a series of other points that I will return to . The hon . Member for Westmorland	)_-RRB- ,_, who_WP has_VBZ the_DT Oxfam_NNP headquarters_NN in_IN his_PRP$ constituency_NN ,_, rightly_RB highlighted_VBD the_DT excellent_JJ work_NN that_WDT Oxfam_NNP does_VBZ on_IN	water_NN and_CC sanitation_NN	._. He_PRP raised_VBD a_DT series_NN of_IN other_JJ points_NNS that_WDT I_PRP will_MD return_VB to_IN ._. The_DT hon_NN ._. Member_NNP for_IN Westmorland_NNP	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=284	242525585	242525587
286	c_1105742	I want to address at the beginning of my remarks . He spoke of the importance of making progress on	water and sanitation	if we are to ensure that much of the discrimination that girls and women face in developing countries is addressed	I_PRP want_VBP to_TO address_VB at_IN the_DT beginning_NN of_IN my_PRP$ remarks_NNS ._. He_PRP spoke_VBD of_IN the_DT importance_NN of_IN making_VBG progress_NN on_IN	water_NN and_CC sanitation_NN	if_IN we_PRP are_VBP to_TO ensure_VB that_IN much_JJ of_IN the_DT discrimination_NN that_WDT girls_NNS and_CC women_NNS face_VBP in_IN developing_VBG countries_NNS is_VBZ addressed_VBN	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=285	242525816	242525818
287	c_1105742	, Food and Rural Affairs , sought in November 2006 to galvanise the international community to give greater attention to	water and sanitation	when he published the case for a global action plan on it . He set out five key targets for	,_, Food_NNP and_CC Rural_NNP Affairs_NNPS ,_, sought_VBD in_IN November_NNP 2006_CD to_TO galvanise_VB the_DT international_JJ community_NN to_TO give_VB greater_JJR attention_NN to_IN	water_NN and_CC sanitation_NN	when_WRB he_PRP published_VBD the_DT case_NN for_IN a_DT global_JJ action_NN plan_NN on_IN it_PRP ._. He_PRP set_VBD out_RP five_CD key_JJ targets_NNS for_IN	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=286	242525978	242525980
288	c_1105742	published the case for a global action plan on it . He set out five key targets for progress on	water and sanitation	across the developing world . I will come on to say where we have got to on those five elements	published_VBD the_DT case_NN for_IN a_DT global_JJ action_NN plan_NN on_IN it_PRP ._. He_PRP set_VBD out_RP five_CD key_JJ targets_NNS for_IN progress_NN on_IN	water_NN and_CC sanitation_NN	across_IN the_DT developing_NN world_NN ._. I_PRP will_MD come_VB on_RP to_TO say_VB where_WRB we_PRP have_VBP got_VBN to_TO on_IN those_DT five_CD elements_NNS	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=287	242526003	242526005
289	c_1105742	to 2010 - 11 . To recap , in March 2005 , we announced that we would double spending on	water and sanitation	in Africa from Â £ 47.5 million to Â £95 million by 2007 - 08 . Based on current estimates	to_IN 2010_CD -_SYM 11_CD ._. To_TO recap_VB ,_, in_IN March_NNP 2005_CD ,_, we_PRP announced_VBD that_IN we_PRP would_MD double_VB spending_NN on_IN	water_NN and_CC sanitation_NN	in_IN Africa_NNP from_IN Â_$ £_$ 47.5_CD million_CD to_IN Â_$ £95_CD million_CD by_IN 2007_CD -_SYM 08_CD ._. Based_VBN on_IN current_JJ estimates_NNS	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=288	242526222	242526224
290	c_1105744	. Member for North - East Milton Keynes alluded to , sub -Saharan Africa is seriously off track against the	water and sanitation	targets . It is that lack of progress that my right hon . Friend the former Secretary of State sought	._. Member_NNP for_IN North_NNP -_HYPH East_NNP Milton_NNP Keynes_NNP alluded_VBD to_IN ,_, sub_NNP -Saharan_NNP Africa_NNP is_VBZ seriously_RB off_IN track_NN against_IN the_DT	water_NN and_CC sanitation_NN	targets_NNS ._. It_PRP is_VBZ that_DT lack_NN of_IN progress_NN that_WDT my_PRP$ right_JJ hon_NN ._. Friend_NN the_DT former_JJ Secretary_NNP of_IN State_NNP sought_VBD	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=289	242526531	242526533
291	c_1105744	. Friend the former Secretary of State sought to challenge in setting out the case for more global action on	water and sanitation	. To give the House hope that the situation will continue to change , I give the example that in	._. Friend_NN the_DT former_JJ Secretary_NNP of_IN State_NNP sought_VBD to_TO challenge_VB in_IN setting_VBG out_RP the_DT case_NN for_IN more_JJR global_JJ action_NN on_IN	water_NN and_CC sanitation_NN	._. To_TO give_VB the_DT House_NNP hope_NN that_IN the_DT situation_NN will_MD continue_VB to_TO change_VB ,_, I_PRP give_VBP the_DT example_NN that_IN in_IN	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=290	242526566	242526568
292	c_1105744	, making them less likely to be able to work or send their children to school . Improved access to	water and sanitation	breaks that cycle . Indeed , hon . Members alluded to the huge economic benefits of access to safe water	,_, making_VBG them_PRP less_RBR likely_JJ to_TO be_VB able_JJ to_TO work_VB or_CC send_VB their_PRP$ children_NNS to_IN school_NN ._. Improved_VBN access_NN to_IN	water_NN and_CC sanitation_NN	breaks_VBZ that_DT cycle_NN ._. Indeed_RB ,_, hon_UH ._. Members_NNS alluded_VBD to_IN the_DT huge_JJ economic_JJ benefits_NNS of_IN access_NN to_IN safe_JJ water_NN	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=291	242526809	242526811
293	c_1105744	water and good sanitation . All too often , we see in some developing countries that the funds to maintain	water and sanitation	systems and to keep them operating are simply not in place . Forty per cent. of the boreholes in Africa	water_NN and_CC good_JJ sanitation_NN ._. All_DT too_RB often_RB ,_, we_PRP see_VBP in_IN some_DT developing_VBG countries_NNS that_IN the_DT funds_NNS to_TO maintain_VB	water_NN and_CC sanitation_NN	systems_NNS and_CC to_TO keep_VB them_PRP operating_VBG are_VBP simply_RB not_RB in_IN place_NN ._. Forty_CD per_NN cent._NN of_IN the_DT boreholes_NNS in_IN Africa_NNP	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=292	242527181	242527183
294	c_1105744	level , he called for one international monitoring report and for one international meeting to chart progress on access to	water and sanitation	, and to explore what else needed doing . In developing countries , he called for one national water and	level_NN ,_, he_PRP called_VBD for_IN one_CD international_JJ monitoring_NN report_NN and_CC for_IN one_CD international_JJ meeting_NN to_TO chart_VB progress_NN on_IN access_NN to_IN	water_NN and_CC sanitation_NN	,_, and_CC to_TO explore_VB what_WP else_JJ needed_VBD doing_VBG ._. In_IN developing_VBG countries_NNS ,_, he_PRP called_VBD for_IN one_CD national_JJ water_NN and_CC	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=293	242527324	242527326
295	c_1105744	and sanitation , and to explore what else needed doing . In developing countries , he called for one national	water and sanitation	plan - not a plan for how each donor would spend their money , but one clear national water and	and_CC sanitation_NN ,_, and_CC to_TO explore_VB what_WP else_JJ needed_VBD doing_VBG ._. In_IN developing_VBG countries_NNS ,_, he_PRP called_VBD for_IN one_CD national_JJ	water_NN and_CC sanitation_NN	plan_NN -_, not_RB a_DT plan_NN for_IN how_WRB each_DT donor_NN would_MD spend_VB their_PRP$ money_NN ,_, but_CC one_CD clear_JJ national_JJ water_NN and_CC	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=294	242527345	242527347
296	c_1105744	and sanitation plan - not a plan for how each donor would spend their money , but one clear national	water and sanitation	plan that everybody would get behind . My right hon . Friend also made clear the need for all the	and_CC sanitation_NN plan_NN -_, not_RB a_DT plan_NN for_IN how_WRB each_DT donor_NN would_MD spend_VB their_PRP$ money_NN ,_, but_CC one_CD clear_JJ national_JJ	water_NN and_CC sanitation_NN	plan_NN that_WDT everybody_NN would_MD get_VB behind_IN ._. My_PRP$ right_JJ hon_NN ._. Friend_NN also_RB made_VBD clear_JJ the_DT need_NN for_IN all_PDT the_DT	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=295	242527366	242527368
297	c_1105744	support the water plan . One UN agency would take the lead . In country , there should be one	water and sanitation	monitoring group of donors - not groups of donors deciding what they thought needed to happen , but all donors	support_VB the_DT water_NN plan_NN ._. One_CD UN_NNP agency_NN would_MD take_VB the_DT lead_NN ._. In_IN country_NN ,_, there_EX should_MD be_VB one_CD	water_NN and_CC sanitation_NN	monitoring_NN group_NN of_IN donors_NNS -_, not_RB groups_NNS of_IN donors_NNS deciding_VBG what_WP they_PRP thought_VBD needed_VBD to_TO happen_VB ,_, but_CC all_DT donors_NNS	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=296	242527438	242527440
298	c_1105744	principle , we are working in Ethiopia , Sierra Leone , Tanzania , Mozambique and Bangladesh in supporting one national	water and sanitation	plan , seeking one UN agency to take the lead and ensuring that there is only one meeting of donors	principle_NN ,_, we_PRP are_VBP working_VBG in_IN Ethiopia_NNP ,_, Sierra_NNP Leone_NNP ,_, Tanzania_NNP ,_, Mozambique_NNP and_CC Bangladesh_NNP in_IN supporting_VBG one_CD national_JJ	water_NN and_CC sanitation_NN	plan_NN ,_, seeking_VBG one_CD UN_NNP agency_NN to_TO take_VB the_DT lead_NN and_CC ensuring_VBG that_IN there_EX is_VBZ only_RB one_CD meeting_NN of_IN donors_NNS	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=297	242527577	242527579
299	c_1105744	provided by my Department . We have approved new funding of some Â £ 75 million over five years for	water and sanitation	in Ethiopia . We are confident that some 3.2 million Ethiopians will benefit from that spend , but between now	provided_VBN by_IN my_PRP$ Department_NNP ._. We_PRP have_VBP approved_VBN new_JJ funding_NN of_IN some_DT Â_$ £_$ 75_CD million_CD over_IN five_CD years_NNS for_IN	water_NN and_CC sanitation_NN	in_IN Ethiopia_NNP ._. We_PRP are_VBP confident_JJ that_IN some_DT 3.2_CD million_CD Ethiopians_NNPS will_MD benefit_VB from_IN that_DT spend_NN ,_, but_CC between_IN now_RB	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=298	242527793	242527795
300	c_1105746	supply in Gaza . I confirm that we have committed some Â £ 1.5 million to the rehabilitation of Palestinian	water and sanitation	services through the temporary international mechanism . We estimate that that will benefit up to 1.5 million people by funding	supply_NN in_IN Gaza_NNP ._. I_PRP confirm_VBP that_IN we_PRP have_VBP committed_VBN some_DT Â_$ £_$ 1.5_CD million_CD to_IN the_DT rehabilitation_NN of_IN Palestinian_JJ	water_NN and_CC sanitation_NN	services_NNS through_IN the_DT temporary_JJ international_JJ mechanism_NN ._. We_PRP estimate_VBP that_IN that_DT will_MD benefit_VB up_IN to_IN 1.5_CD million_CD people_NNS by_IN funding_VBG	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=299	242528685	242528687
301	c_1105746	EU water facility , which , after some initial problems , is now working effectively and bringing greater attention to	water and sanitation	. It has considerable potential further down the line . The Prime Minister has described the situation this year -	EU_NNP water_NN facility_NN ,_, which_WDT ,_, after_IN some_DT initial_JJ problems_NNS ,_, is_VBZ now_RB working_VBG effectively_RB and_CC bringing_VBG greater_JJR attention_NN to_IN	water_NN and_CC sanitation_NN	._. It_PRP has_VBZ considerable_JJ potential_NN further_RBR down_IN the_DT line_NN ._. The_DT Prime_NNP Minister_NNP has_VBZ described_VBN the_DT situation_NN this_DT year_NN -_HYPH	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=300	242529182	242529184
302	c_1105746	year - half way to the millennium development goals - as an MDG emergency . We face huge challenges on	water and sanitation	, but we are making progress in achieving all the millennium development goals . We are seeking to work with	year_NN -_HYPH half_NN way_NN to_IN the_DT millennium_NN development_NN goals_NNS -_, as_IN an_DT MDG_NNP emergency_NN ._. We_PRP face_VBP huge_JJ challenges_NNS on_IN	water_NN and_CC sanitation_NN	,_, but_CC we_PRP are_VBP making_VBG progress_NN in_IN achieving_VBG all_PDT the_DT millennium_NN development_NN goals_NNS ._. We_PRP are_VBP seeking_VBG to_TO work_VB with_IN	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=301	242529223	242529225
303	c_1105746	the areas in which they work ; but if we want every area in country to have good access to	water and sanitation	, good schools and good health care facilities , we must build up the ability and capacity of Governments in	the_DT areas_NNS in_IN which_WDT they_PRP work_VBP ;_: but_CC if_IN we_PRP want_VBP every_DT area_NN in_IN country_NN to_TO have_VB good_JJ access_NN to_IN	water_NN and_CC sanitation_NN	,_, good_JJ schools_NNS and_CC good_JJ health_NN care_NN facilities_NNS ,_, we_PRP must_MD build_VB up_RP the_DT ability_NN and_CC capacity_NN of_IN Governments_NNS in_IN	2008-03-19	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=302	242529367	242529369
304	c_1106779	much of which goes to rural areas . On top of that , our health , education , infrastructure ,	water and sanitation	, governance , and other programmes , contribute to sustainable rural development . The Â£200 million that we have committed	much_JJ of_IN which_WDT goes_VBZ to_IN rural_JJ areas_NNS ._. On_IN top_NN of_IN that_DT ,_, our_PRP$ health_NN ,_, education_NN ,_, infrastructure_NN ,_,	water_NN and_CC sanitation_NN	,_, governance_NN ,_, and_CC other_JJ programmes_NNS ,_, contribute_VBP to_IN sustainable_JJ rural_JJ development_NN ._. The_DT Â£200_CD million_CD that_WDT we_PRP have_VBP committed_VBN	2008-03-25	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=303	242765844	242765846
305	c_1113374	right hon . Gentleman aware that the Government , through my Department , are working on revising our policy on	water and sanitation	? We are seeking to take into account at least some of the Committee recommendations , so I hope that	right_JJ hon_NN ._. Gentleman_NN aware_JJ that_IN the_DT Government_NNP ,_, through_IN my_PRP$ Department_NNP ,_, are_VBP working_VBG on_IN revising_VBG our_PRP$ policy_NN on_IN	water_NN and_CC sanitation_NN	?_. We_PRP are_VBP seeking_VBG to_TO take_VB into_IN account_NN at_IN least_JJS some_DT of_IN the_DT Committee_NN recommendations_NNS ,_, so_RB I_PRP hope_VBP that_IN	2008-05-01	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=304	244188556	244188558
306	c_1113383	their own terms , with national and international agencies , and it appears to be delivering real improvements in both	water and sanitation	provision . â€ Unfortunately , when we went down on to the plain , the situation was rather more difficult	their_PRP$ own_JJ terms_NNS ,_, with_IN national_JJ and_CC international_JJ agencies_NNS ,_, and_CC it_PRP appears_VBZ to_TO be_VB delivering_VBG real_JJ improvements_NNS in_IN both_CC	water_NN and_CC sanitation_NN	provision_NN ._. â€_NFP Unfortunately_RB ,_, when_WRB we_PRP went_VBD down_RB on_IN to_IN the_DT plain_NN ,_, the_DT situation_NN was_VBD rather_RB more_RBR difficult_JJ	2008-05-01	libdem	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=305	244191350	244191352
307	c_1113383	the African Development Bank . It would be helpful if he indicated the likelihood of those contributions impacting directly on	water and sanitation	provision , particularly those going to the ADB . It is setting itself up as a bank with a unique	the_DT African_NNP Development_NNP Bank_NNP ._. It_PRP would_MD be_VB helpful_JJ if_IN he_PRP indicated_VBD the_DT likelihood_NN of_IN those_DT contributions_NNS impacting_VBG directly_RB on_IN	water_NN and_CC sanitation_NN	provision_NN ,_, particularly_RB those_DT going_VBG to_IN the_DT ADB_NNP ._. It_PRP is_VBZ setting_VBG itself_PRP up_RP as_IN a_DT bank_NN with_IN a_DT unique_JJ	2008-05-01	libdem	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=306	244191857	244191859
308	c_1113388	also pointed out , we need to look at the issue of gender when we consider tackling the problems of	water and sanitation	. Issues of menstruation , pregnancy and , in some places , culture , mean that in many cases when	also_RB pointed_VBD out_RP ,_, we_PRP need_VBP to_TO look_VB at_IN the_DT issue_NN of_IN gender_NN when_WRB we_PRP consider_VBP tackling_VBG the_DT problems_NNS of_IN	water_NN and_CC sanitation_NN	._. Issues_NNS of_IN menstruation_NN ,_, pregnancy_NN and_CC ,_, in_IN some_DT places_NNS ,_, culture_NN ,_, mean_VBP that_IN in_IN many_JJ cases_NNS when_WRB	2008-05-01	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=307	244193359	244193361
309	c_1113388	have to be communal because of cost restraints , is essential not only because everyone has a basic right to	water and sanitation	but because of the increasing risk of disease , particularly when people live together at very close quarters . Therefore	have_VB to_TO be_VB communal_JJ because_IN of_IN cost_NN restraints_NNS ,_, is_VBZ essential_JJ not_RB only_RB because_IN everyone_NN has_VBZ a_DT basic_JJ right_NN to_IN	water_NN and_CC sanitation_NN	but_CC because_IN of_IN the_DT increasing_VBG risk_NN of_IN disease_NN ,_, particularly_RB when_WRB people_NNS live_VBP together_RB at_IN very_RB close_JJ quarters_NNS ._. Therefore_RB	2008-05-01	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=308	244193733	244193735
310	c_1113388	been made on the â€ œFive Onesâ€ initiative . The aim is to have one high - level meeting on	water and sanitation	every year - the issues that we are discussing could be taken forward at the meeting that will be held	been_VBN made_VBN on_IN the_DT â€_`` œFive_NNP Onesâ€_NNP initiative_NN ._. The_DT aim_NN is_VBZ to_TO have_VB one_CD high_JJ -_HYPH level_NN meeting_NN on_IN	water_NN and_CC sanitation_NN	every_DT year_NN -_, the_DT issues_NNS that_WDT we_PRP are_VBP discussing_VBG could_MD be_VB taken_VBN forward_RB at_IN the_DT meeting_NN that_WDT will_MD be_VB held_VBN	2008-05-01	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=309	244194426	244194428
311	c_1113389	an important report , but the most important point is that the inquiry has taken place . The issue of	water and sanitation	- or sanitation and water , as we prefer to put it - is central to the survival of people	an_DT important_JJ report_NN ,_, but_CC the_DT most_RBS important_JJ point_NN is_VBZ that_IN the_DT inquiry_NN has_VBZ taken_VBN place_NN ._. The_DT issue_NN of_IN	water_NN and_CC sanitation_NN	-_, or_CC sanitation_NN and_CC water_NN ,_, as_IN we_PRP prefer_VBP to_TO put_VB it_PRP -_, is_VBZ central_JJ to_IN the_DT survival_NN of_IN people_NNS	2008-05-01	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=310	244194779	244194781
312	c_1113389	to thank the 220 of my colleagues who supported me when I set up the all - party group on	water and sanitation	in the third world , of which I have the honour to be chairman . The lack of sanitation is	to_TO thank_VB the_DT 220_CD of_IN my_PRP$ colleagues_NNS who_WP supported_VBD me_PRP when_WRB I_PRP set_VBD up_RP the_DT all_DT -_HYPH party_NN group_NN on_IN	water_NN and_CC sanitation_NN	in_IN the_DT third_JJ world_NN ,_, of_IN which_WDT I_PRP have_VBP the_DT honour_NN to_TO be_VB chairman_NN ._. The_DT lack_NN of_IN sanitation_NN is_VBZ	2008-05-01	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=311	244194897	244194899
313	c_1113389	to repeat , and in a Westminster Hall debate shortly before to the effect thatâ€ œaccess to safe , affordable	water and sanitation	is a human right . â€  He said that progress on the relevant millennium development goal â€ œis therefore	to_TO repeat_VB ,_, and_CC in_IN a_DT Westminster_NNP Hall_NNP debate_NN shortly_RB before_RB to_IN the_DT effect_NN thatâ€_HYPH œaccess_NN to_IN safe_JJ ,_, affordable_JJ	water_NN and_CC sanitation_NN	is_VBZ a_DT human_JJ right_NN ._. â€_NFP _NFP He_PRP said_VBD that_IN progress_NN on_IN the_DT relevant_JJ millennium_NN development_NN goal_NN â€_, œis_VBZ therefore_RB	2008-05-01	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=312	244195248	244195250
314	c_1113393	it ? The Select Committee also recognised the need for high - level global political commitment to the issues of	water and sanitation	, if faster progress is to be made . The Department has called for one high - level annual meeting	it_PRP ?_. The_DT Select_NNP Committee_NNP also_RB recognised_VBD the_DT need_NN for_IN high_JJ -_HYPH level_NN global_JJ political_JJ commitment_NN to_IN the_DT issues_NNS of_IN	water_NN and_CC sanitation_NN	,_, if_IN faster_JJR progress_NN is_VBZ to_TO be_VB made_VBN ._. The_DT Department_NNP has_VBZ called_VBN for_IN one_CD high_JJ -_HYPH level_NN annual_JJ meeting_NN	2008-05-01	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=313	244196781	244196783
315	c_1113396	G8 Development Ministers meeting . We discussed the need to revisit the Evian action plan and make further progress on	water and sanitation	, which the hon . Gentleman and the right hon . Member for Gordon ( Malcolm Bruce ) have referred	G8_NNP Development_NNP Ministers_NNPS meeting_NN ._. We_PRP discussed_VBD the_DT need_NN to_TO revisit_VB the_DT Evian_NNP action_NN plan_NN and_CC make_VB further_JJR progress_NN on_IN	water_NN and_CC sanitation_NN	,_, which_WDT the_DT hon_NN ._. Gentleman_NN and_CC the_DT right_JJ hon_NN ._. Member_NNP for_IN Gordon_NNP (_-LRB- Malcolm_NNP Bruce_NNP )_-RRB- have_VBP referred_VBN	2008-05-01	lab	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=314	244197209	244197211
316	c_1113399	through multilateral and bilateral channels to support governments to respond to the urban challenge . 37 per cent. of DFID	water and sanitation	spend in 2005 - 06 was through multilateral organisations including the World Bank , the Asian Development Bank and the	through_IN multilateral_JJ and_CC bilateral_JJ channels_NNS to_TO support_VB governments_NNS to_TO respond_VB to_IN the_DT urban_JJ challenge_NN ._. 37_CD per_NN cent._NN of_IN DFID_NNP	water_NN and_CC sanitation_NN	spend_NN in_IN 2005_CD -_SYM 06_CD was_VBD through_IN multilateral_JJ organisations_NNS including_VBG the_DT World_NNP Bank_NNP ,_, the_DT Asian_NNP Development_NNP Bank_NNP and_CC the_DT	2008-05-01	con	2008	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=315	244198086	244198088
